Departure ICAO,Departure Time,Arrival ICAO,Arrival Time,Duration
NWWW,05:30z,YBBN,08:00z,2:30
NWWW,06:15z,YBBN,08:45z,2:30
YBBN,10:05z,NWWW,12:20z,2:15
YBBN,09:20z,NWWW,11:35z,2:15
NWWW,06:50z,NVVV,08:00z,1:10
NVVV,09:05z,NWWW,10:05z,1:00
NWWW,21:00z,NFFN,22:55z,1:55
NFFN,23:50z,NLWW,01:00z,1:10
NFFN,05:06z,NWWW,06:54z,1:48
NLWW,02:29z,NFFN,03:53z,1:24
NWWW,12:53z,NLWW,15:31z,2:38
NWWW,00:45z,NLWW,03:40z,2:55
NLWW,05:05z,NWWW,08:10z,3:05
NLWW,00:50z,NWWW,03:55z,3:05
NWWW,21:00z,NZAA,23:40z,2:40
NZAA,01:00z,NWWW,03:55z,2:55
NWWW,21:10z,NFFN,23:05z,1:55
NFFN,00:05z,NTAA,04:35z,4:30
NTAA,19:35z,NFFN,00:35z,5:00
NFFN,01:35z,NWWW,03:40z,2:05
LFPG,05:30z,LFPO,05:55z,0:25
LFPO,07:00z,LFPG,07:15z,0:15
TFFF,12:35z,SOCA,14:45z,2:10
TFFF,16:40z,SOCA,18:50z,2:10
TFFR,15:10z,TFFF,15:55z,0:45
TFFR,11:05z,TFFF,11:50z,0:45
TFFF,18:35z,TFFR,19:15z,0:40
SOCA,15:40z,TFFF,17:50z,2:10
SOCA,20:25z,SBBE,21:55z,1:30
SBBE,12:50z,SOCA,14:20z,1:30
TFFR,18:15z,TFFF,18:55z,0:40
TFFF,19:40z,SOCA,21:55z,2:15
TFFF,01:50z,TFFR,02:30z,0:40
SOCA,22:50z,TFFF,01:05z,2:15
TFFR,20:20z,MTPP,22:20z,2:00
MTPP,23:30z,KMIA,01:35z,2:05
SOCA,16:05z,SBFZ,18:50z,2:45
TFFR,22:00z,TNCM,22:50z,0:50
SBFZ,18:20z,SOCA,21:05z,2:45
TNCM,23:50z,TFFR,00:40z,0:50
KMIA,13:10z,MTPP,15:05z,1:55
MTPP,16:00z,TFFR,17:50z,1:50
TFFR,20:35z,KMIA,00:20z,3:45
KMIA,13:55z,TFFR,17:05z,3:10
TFFR,18:45z,CYUL,00:10z,5:25
TFFR,20:25z,CYUL,01:50z,5:25
CYUL,16:00z,TFFR,21:00z,5:00
LFPG,06:00z,LEMD,08:10z,2:10
LEMD,09:00z,LFPG,11:10z,2:10
LFPG,11:25z,LGIR,14:55z,3:30
LGIR,15:55z,LFPG,19:40z,3:45
LFPG,19:40z,LIRF,21:45z,2:05
LIRF,05:00z,LFPG,07:15z,2:15
LFPG,11:25z,LIML,12:55z,1:30
LIML,13:55z,LFPG,15:30z,1:35
LFPG,08:45z,LPPT,11:20z,2:35
LPPT,12:20z,LFPG,14:55z,2:35
LFPG,17:30z,LSGG,18:40z,1:10
LSGG,19:35z,LFPG,20:50z,1:15
LFPG,13:15z,EPWA,15:30z,2:15
